value,adsh,fp,fy
92305000,0001437749-19-018000,FY,2019
78843000,0001437749-19-018000,FY,2019
83409000,0001437749-19-018000,FY,2019
84957000,0001437749-19-018000,FY,2019
89541000,0001437749-19-018000,FY,2019
72832000,0001437749-19-018000,FY,2019
81522000,0001437749-19-018000,FY,2019
1113316000,0000746598-19-000128,FY,2019
290151000,0000746598-19-000128,FY,2019
287780000,0000746598-19-000128,FY,2019
298421000,0000746598-19-000128,FY,2019
297499000,0000746598-19-000128,FY,2019
1173851000,0000746598-19-000128,FY,2019
293196000,0000746598-19-000128,FY,2019
282426000,0000746598-19-000128,FY,2019
289745000,0000746598-19-000128,FY,2019
295278000,0000746598-19-000128,FY,2019
1160645000,0000746598-19-000128,FY,2019
85548,0001564590-19-034803,FY,2019
22260,0001564590-19-034803,FY,2019
236824,0001564590-19-034803,FY,2019
104521,0001564590-19-034803,FY,2019
79269,0001564590-19-034803,FY,2019
212746,0001564590-19-034803,FY,2019
3852,0001564590-19-034803,FY,2019
400388,0001564590-19-034803,FY,2019
344632,0001564590-19-034803,FY,2019
7606248000,0001591588-19-000024,FY,2019
4783157000,0001591588-19-000024,FY,2019
2717000,0001144204-19-044723,FY,2018
2966000,0001144204-19-044723,FY,2018
92000,0001144204-19-044723,FY,2018
83000,0001144204-19-044723,FY,2018
74000,0001144204-19-044723,FY,2018
198000,0001144204-19-044723,FY,2018
410000,0001144204-19-044723,FY,2018
76000,0001144204-19-044723,FY,2018
73000,0001144204-19-044723,FY,2018
63000,0001144204-19-044723,FY,2018
0,0001753391-19-000025,FY,2019
0,0001753391-19-000025,FY,2019
32517883,0001174947-19-001066,FY,2019
7496423,0001174947-19-001066,FY,2019
11531105,0001174947-19-001066,FY,2019
5663161,0001174947-19-001066,FY,2019
7827194,0001174947-19-001066,FY,2019
8337399,0001174947-19-001066,FY,2019
7303109,0001174947-19-001066,FY,2019
36477851,0001174947-19-001066,FY,2019
9218141,0001174947-19-001066,FY,2019
11619202,0001174947-19-001066,FY,2019
431943000,0001144204-19-045267,FY,2019
540768000,0001144204-19-045267,FY,2019
570341000,0001144204-19-045267,FY,2019
NULL,0001477932-19-005416,FY,2019
NULL,0001477932-19-005416,FY,2019
2423,0001477932-19-005429,FY,2018
227343,0001477932-19-005429,FY,2018
554351,0001477932-19-005429,FY,2018
44723827,0001654954-19-010679,FY,2019
26942,0001654954-19-010679,FY,2019
10612,0001654954-19-010679,FY,2019
8963,0001654954-19-010679,FY,2019
20618,0001654954-19-010679,FY,2019
67134758,0001654954-19-010679,FY,2019
35,0001654954-19-010679,FY,2019
0,0001654954-19-010679,FY,2019
0,0001654954-19-010679,FY,2019
60265,0001654954-19-010679,FY,2019
60300476,0001654954-19-010679,FY,2019
290491,0001654954-19-010721,FY,2019
885665,0001654954-19-010721,FY,2019
1579613,0001654954-19-010721,FY,2019
2305144,0001654954-19-010721,FY,2019
625300000,0000065011-19-000085,FY,2019
8537871,0001006655-19-000033,FY,2019
11066911,0001006655-19-000033,FY,2019
10249566,0001006655-19-000033,FY,2019
11426864,0001006655-19-000033,FY,2019
40773527,0001006655-19-000033,FY,2019
12307079,0001006655-19-000033,FY,2019
11048118,0001006655-19-000033,FY,2019
9501028,0001006655-19-000033,FY,2019
10373396,0001006655-19-000033,FY,2019
43229621,0001006655-19-000033,FY,2019
150007000,0001174947-19-001060,FY,2019
228318000,0001174947-19-001060,FY,2019
1208000,0001213900-19-017977,FY,2019
1443000,0001213900-19-017977,FY,2019
NULL,0001213900-19-017919,FY,2019
NULL,0001213900-19-017919,FY,2019
3620427,0001185185-19-001258,FY,2019
3590217,0001185185-19-001258,FY,2019
2672502,0001213900-19-018648,FY,2019
2859582,0001213900-19-018648,FY,2019
2315635,0001213900-19-018648,FY,2019
10476783,0001213900-19-018648,FY,2019
2371900,0001213900-19-018648,FY,2019
2598079,0001213900-19-018648,FY,2019
2327880,0001213900-19-018648,FY,2019
10919785,0001213900-19-018648,FY,2019
NULL,0001553350-19-000976,FY,2019
NULL,0001553350-19-000976,FY,2019
0,0001741257-19-000010,FY,2019
0,0001741257-19-000010,FY,2019
42361000,0001654954-19-011016,FY,2019
39198000,0001654954-19-011016,FY,2019
6740000,0001654954-19-010917,FY,2019
7189000,0001654954-19-010917,FY,2019
7303000,0001654954-19-010917,FY,2019
9732000,0001654954-19-010917,FY,2019
30964000,0001654954-19-010917,FY,2019
9093000,0001654954-19-010917,FY,2019
9239000,0001654954-19-010917,FY,2019
9649000,0001654954-19-010917,FY,2019
9284000,0001654954-19-010917,FY,2019
37265000,0001654954-19-010917,FY,2019
64414910,0001654954-19-011076,FY,2019
62565117,0001654954-19-011076,FY,2019
629969,0001477932-19-005520,FY,2018
79665,0001477932-19-005520,FY,2018
NULL,0001553350-19-000992,FY,2019
NULL,0001553350-19-000992,FY,2019
1128245,0001477932-19-005506,FY,2019
1789823,0001477932-19-005506,FY,2019
1799509000,0001193125-19-256047,FY,2019
2447430000,0001193125-19-256047,FY,2019
